V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,
27%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,1%,70%,0%,0%,0%,
2%,0%,1%,1%,75%,0%,6%,0%,0%,0%,6%,0%,0%,0%,0%,1%,0%,1%,2%,2%,
41%,0%,0%,0%,21%,0%,24%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,11%,
15%,0%,0%,7%,1%,0%,32%,0%,0%,1%,0%,0%,31%,0%,0%,1%,0%,4%,0%,7%,
10%,0%,0%,0%,1%,1%,35%,0%,23%,3%,0%,0%,3%,0%,1%,6%,0%,1%,0%,14%,
1%,1%,0%,0%,19%,16%,34%,0%,0%,1%,0%,0%,2%,0%,0%,15%,0%,3%,0%,6%,
0%,9%,0%,0%,28%,58%,0%,0%,0%,0%,0%,0%,2%,0%,0%,0%,0%,0%,1%,0%,
0%,6%,0%,0%,22%,65%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,4%,0%,
0%,1%,0%,2%,0%,0%,4%,0%,0%,70%,0%,0%,0%,0%,0%,2%,0%,0%,0%,20%,
0%,1%,0%,0%,2%,1%,0%,0%,0%,0%,0%,1%,0%,0%,0%,1%,0%,1%,93%,0%,
1%,3%,12%,1%,48%,0%,1%,0%,7%,0%,1%,1%,1%,2%,0%,9%,0%,1%,1%,11%,
11%,1%,1%,0%,2%,0%,3%,3%,0%,0%,0%,0%,0%,0%,7%,1%,5%,0%,0%,66%,
0%,0%,47%,0%,0%,0%,1%,0%,0%,0%,0%,0%,3%,0%,0%,29%,0%,0%,0%,17%,
0%,0%,11%,0%,0%,2%,2%,0%,0%,0%,0%,3%,0%,1%,0%,3%,39%,6%,0%,31%,
0%,0%,47%,0%,0%,0%,1%,0%,0%,0%,0%,0%,3%,0%,0%,29%,0%,0%,0%,17%,
0%,1%,0%,0%,9%,0%,1%,0%,3%,1%,0%,0%,54%,0%,0%,23%,0%,0%,0%,6%,
0%,1%,0%,92%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,3%,
0%,0%,0%,0%,0%,77%,10%,0%,0%,0%,0%,0%,10%,0%,0%,0%,0%,1%,0%,0%,
0%,1%,0%,92%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,3%,
0%,2%,0%,0%,0%,39%,11%,0%,0%,0%,0%,0%,40%,0%,0%,5%,0%,0%,0%,1%,
3%,0%,0%,0%,0%,0%,96%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
23%,0%,0%,0%,17%,0%,51%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,7%,
0%,0%,0%,1%,2%,0%,0%,0%,6%,0%,23%,1%,2%,0%,0%,45%,0%,0%,0%,17%,
